ground_pm10_accumulated,pi_residual
22.97,-0.05661708339661242
49.099999999999994,-0.024463725393962132
72.13,-0.04826546910769425
95.96,-0.0798063694411355
131.26,-0.08578217477247341
164.60999999999999,-0.11774466886659418
209.04999999999998,-0.07068821447834761
241.21999999999997,-0.0432691633746618
270.93999999999994,-0.04185275558468726
300.5199999999999,-0.015481337782416116
329.31999999999994,-0.04364848375602559
351.50999999999993,0.2627349772556622
374.0199999999999,-0.010174809002754248
399.3299999999999,0.0029427799667747223
423.19999999999993,0.022988541517312555
448.50999999999993,0.039842515123461375
469.8499999999999,-0.026882665636758674
497.3999999999999,-0.026056399760835625
523.29,-0.05121805371654364
541.79,-0.020711819956861
559.36,0.036684567693353376
577.85,0.020465183283626676
601.24,-0.019032931648984786
630.82,0.01600187222395988
643.63,-0.05210153324583988
656.33,0.020584384002886313
671.9000000000001,-0.008504604160478824
692.33,-0.008397292957884606
717.7,-0.016846042730419786
744.45,-0.06198682304547898
771.3100000000001,0.045143327169458125
799.3800000000001,0.04557691530210217
835.9300000000001,-0.043469980047148304
876.8700000000001,0.003379350649825863
913.4800000000001,0.012771989822290664
936.9000000000001,-0.06808243844202266
972.3800000000001,0.04670870584192466
997.9500000000002,-0.12710693340956425
1033.8600000000001,-0.0017278304722836424
1066.5300000000002,-0.02992980177149418
1112.7400000000002,-0.037773203559562596
1130.8800000000003,-0.13528111943227117
15.74,0.38753078870575886
38.87,0.39158866833346373
51.349999999999994,0.6763423435277689
61.489999999999995,0.5563641479414967
77.1,0.3053275046260513
96.88999999999999,0.40309451242044947
116.61999999999999,0.16871799019930833
147.33999999999997,-0.0032768060208252514
192.99999999999997,0.23199210798080383
247.61999999999998,-0.04745195031903959
289.84,-0.031294928268778666
333.14,0.029843133065001748
353.65,-0.2791064528747156
382.27,-0.29263283449983124
421.79999999999995,-0.23562817612524967
450.36999999999995,-0.26617015128392607
478.15999999999997,-0.2560491194842647
513.65,-0.1842351947097658
557.1899999999999,-0.16854495434723438
600.8299999999999,-0.0051181786842584565
647.4599999999999,-0.06015661563736696
695.4699999999999,0.09195966450104853
736.8899999999999,0.05904732588742201
763.9799999999999,0.012652077926376126
798.0699999999999,-0.01791444246184648
822.53,-0.05803891863248767
853.43,-0.26900999744669685
887.79,-0.15941880813941411
912.49,0.027345785589577787
944.45,0.022166530499866166
1011.5400000000001,0.03720102680575632
1038.71,-0.009780300461016633
1066.05,0.31174532336951266
1087.06,1.5477211180243344
1102.9299999999998,-0.042881516239750006
1123.0299999999997,0.037008198000604065
1150.9799999999998,0.15264812393976213
1177.5199999999998,0.03742578628630433
1211.3399999999997,0.023993566752835704
1239.7199999999998,0.0193328328703668
1265.2699999999998,-0.02716710150806012
1287.9399999999998,-0.0032768060208252514
1317.4299999999998,-0.026636030619472173
1366.9399999999998,-0.05089448036184541
1433.87,-0.03823688937842995
1492.08,-0.06726967199884504
1572.6699999999998,-0.17841028922956825
1619.1,-0.18205211552538225
1646.6599999999999,-0.035566390540355375
1671.11,-0.023918222951448076
1693.9199999999998,-0.07729444397771523
1719.11,-0.05995916485250952
1742.6899999999998,-0.14188203088207052
1776.11,-0.07391299695255249
1803.35,-0.0715228693237635
1831.02,-0.150584683564857
1851.8799999999999,-0.12033140580149748
1873.26,-0.07375746014106133
24.22,-0.42484270936583357
68.11,-0.28137888911259834
124.64,-0.16644230398051585
190.59,-0.16024169847166103
251.53,-0.13539640157928945
307.01,-0.11998445104668587
380.25,-0.15033521759053947
437.88,0.026074763176584526
469.19,0.0760973992390821
495.19,0.1492152504056028
522.61,0.2768053551657399
550.24,-0.13087857553531723
572.8,0.06016512234583837
598.7199999999999,0.04742469147099193
624.6299999999999,0.03891854566518127
666.3699999999999,0.04921434093019661
698.3499999999999,-0.00020622294838057442
723.54,-0.02455892669035542
757.0899999999999,-0.03405903504926977
789.79,0.01880692646206672
806.5899999999999,-0.06298491261409866
841.1299999999999,-0.10281365665432673
917.6099999999999,-0.06293928736217635
1117.7199999999998,-0.09142077174172325
1160.7799999999997,-0.04210422825086679
1181.3399999999997,-0.07203545048321969
1209.3199999999997,-0.09297587417698283
1227.9399999999996,0.019684393586437032
1246.1099999999997,0.03437201811671464
1264.7099999999996,-0.017047062880890085
1284.8799999999997,-0.013072097306995545
1308.3299999999997,0.053411781835445815
1331.7299999999998,0.03984673450987808
1359.3299999999997,0.020272720399401756
1384.9099999999996,-0.032273651435951844
1410.6199999999997,0.0758621244886295
1429.9699999999996,0.04850714952540969
1456.7199999999996,0.030690852254088963
1479.3399999999995,-0.135273700065782
1514.3399999999995,0.044656298041672926
1553.2799999999995,-0.030486203928256295
26.15,-0.1387576150430081
55.87,-0.16997634069583123
98.41999999999999,-0.18356177930732853
115.01999999999998,-0.040316751969003306
145.73,-0.011276354354382345
176.22,-0.02823226801632872
199.76,0.07268460258268572
221.20999999999998,0.0872941649702077
244.02999999999997,0.11168589878876256
268.65999999999997,0.08837552059258336
303.45,0.081070576127523
343.98,0.06694108888576977
391.77000000000004,-0.23387874668761288
430.09000000000003,-0.12028250703910981
454.51000000000005,-0.03387240929207902
480.24000000000007,-0.05359432771307171
512.7800000000001,-0.0539974594802044
546.5100000000001,-0.12437909197987995
597.1400000000001,-0.1723780397294612
652.8400000000001,-0.29533804704574074
697.6700000000002,-0.3574041862710935
712.7900000000002,-0.07051912678746053
733.1100000000002,0.00411881874171538
755.9700000000003,0.008874417743522045
777.1400000000002,0.009052391459889009
811.3500000000003,-0.0027519923058494378
836.7100000000003,0.016742447914030567
864.1800000000003,0.015846991932147336
882.0100000000003,0.02034088725855021
901.1300000000003,-0.00644535389219314
918.0900000000004,0.016272870567322517
932.6000000000004,0.02885613596002834
947.1000000000004,0.04043305718084067
960.9800000000004,0.019543357671680806
971.4600000000004,2.9618194361979988e-05
985.0800000000004,0.2249855448642677
999.6600000000004,-0.019058387826029755
1016.9300000000004,-0.013208328082595422
1034.3900000000003,-0.07847491278027618
1053.3000000000004,0.04468146968891196
1071.4800000000005,0.013374389867479852
1118.0100000000004,0.0205451975338935
1161.6200000000003,0.037666142917748946
26.12,0.09359771350494528
76.79,0.10752556462226348
117.15,0.07924265971854672
153.13,0.014340193241590526
176.92,0.06088132297396065
200.69,0.07121919637947949
230.97,0.11608088078734635
254.57999999999998,0.31977337557535535
277.69,0.11081909468440365
310.55,0.2018075080748254
352.45,0.0419994532567034
376.52,0.12321607441285831
407.28,0.14941611850833514
431.83,-0.09165840995899543
454.09,-0.017682852062174348
476.88,-0.13968525666800335
498.33,-0.02460674537344243
520.28,-0.008401882983841258
547.24,-0.010866867787061807
579.6,0.03250221734141956
609.86,-0.013551721957878016
636.13,0.0837019402651249
668.83,-0.12460512062262996
702.0600000000001,0.16979912565877742
740.0200000000001,0.23549273211535748
781.9800000000001,-0.023754294566276535
810.9900000000001,-0.22059957543834674
837.4300000000002,-0.0463291974307265
873.0300000000002,-0.06851984571825254
905.8100000000002,-0.11545003684653388
932.1500000000002,-0.04028675853100161
969.1900000000002,-0.04801395467098857
991.5700000000002,-0.03498279644106628
1011.7000000000002,-0.039846742591265194
1032.68,-0.04526721758402674
1059.24,-0.05161309067275521
1079.27,0.07849683688772569
1100.6399999999999,0.012469972963462972
1139.57,0.08100476821326552
35.53,0.05344122187364686
51.57,0.18654827328432644
84.5,0.21299246509119785
118.7,0.12749542954056903
163.65,0.14291673782378744
207.59,0.12640881199194887
224.6,0.0070282628454712
241.47,-0.010159865124252931
269.56,0.06869454672084574
299.5,0.13259930104371254
326.72,-0.04877077827269405
348.92,-0.028866178183057034
369.95000000000005,-0.05519829019212663
409.59000000000003,-0.06176063529027953
417.61,0.33888955727063497
442.23,0.044041000941756
478.5,-0.08052648208765278
521.41,-0.03895643952595318
554.3499999999999,0.02572469672518496
580.9699999999999,0.05188990487139211
603.3,0.14396548100128514
633.01,0.09402890407075581
656.18,0.09851073396047072
681.87,0.028939488333341146
703.58,-0.07266692143565257
731.32,-0.05843371210534665
750.5600000000001,0.0801732597873146
780.9000000000001,-0.053813835647933406
819.3000000000001,-0.08429406100641001
854.2500000000001,-0.08654872157357518
897.4800000000001,-0.08435755799206612
954.8200000000002,-0.10294261360615309
1011.3000000000002,-0.06079662379448747
1046.9700000000003,-0.024411317023462775
1082.8300000000002,-0.11634029080208563
1106.69,0.026635839095831226
1125.41,0.062132988914954446
1147.38,-0.008110764717679686
1175.67,0.03553801127119982
1207.47,-0.01649838440584883
1244.51,0.06869454672084618
1269.92,0.03959499367631203
1282.27,-0.059584675018172994
1295.05,-0.04366212882412146
1315.1,-0.031975673064180477
1332.7099999999998,-4.1140088438140765e-06
1349.4099999999999,-0.0073930157527413165
1365.34,0.020307479026460573
1385.9199999999998,-0.033543361794532434
1411.9799999999998,0.0029977399840932506
1461.9099999999999,0.0512516998758632
1480.31,0.014643133426988086
1504.03,-0.033593517735380996
1529.6299999999999,-0.05855942559278149
1565.6799999999998,0.10083523336188671
1604.6699999999998,0.0942902689347056
1644.7699999999998,0.1060569524576982
1682.8899999999996,0.10746010181830945
43.79,-0.5871701711898116
84.27,-0.5834264258215125
136.57,-0.6180864391199896
191.03,-0.5130912309286217
242.46,-0.3898732363105353
299.47,-0.28997400496409176
325.88000000000005,-1.4183079584537102
357.6,-0.008379162678551655
389.43,0.257121206043879
417.75,0.39040692364240437
443.95,0.4113808548003717
471.06,0.41805241439900787
510.36,-0.06054656635989719
579.1700000000001,-0.1415146598654724
605.3900000000001,0.04573209043601478
639.32,-0.06809254953135868
677.0200000000001,0.006296729143157265
727.8700000000001,0.03215309403544531
784.5300000000001,0.014536356015576679
841.83,0.03878137929915271
895.7,0.029324339871312333
956.09,-0.009021129302204667
1009.8100000000001,0.09752028417500203
1057.97,0.0872103832316351
1105.43,0.05487184627972752
1157.93,-1.4979292926963417
1194.1100000000001,-0.303967153728133
1228.13,-0.3293325747314384
1257.71,-1.1620715880747228
1289.6100000000001,-0.08771424859268429
1332.0300000000002,0.15950874273612747
1365.9600000000003,0.11255698323025376
1403.9000000000003,-0.018058709482363433
1453.4200000000003,0.13681824817573984
1519.3500000000004,0.1629498914968157
1544.2700000000004,0.19516174213165316
1582.3000000000004,0.15792979313313849
1624.3300000000004,0.18254296445142826
1652.4900000000005,0.22489371967469474
1678.4100000000005,0.5184351566843279
1702.3200000000006,-1.0312558685006419
1727.8900000000006,-0.01129956522686193
1763.8000000000006,0.13505424051223036
1800.8800000000006,0.0009203761417215794
1843.2300000000005,0.1480365569947697
1891.9900000000005,0.08814540766566914
1914.5700000000004,0.1769154540362199
1938.5200000000004,0.37589637899870443
1964.0700000000004,-0.22536398910614963
1989.5800000000004,0.32540204674925377
2020.3300000000004,0.25326000916758407
2061.5900000000006,0.24422298549711563
2101.2100000000005,0.31431050268497485
2122.0600000000004,0.3450409018487557
2154.4500000000003,0.3338364042950004
2202.7900000000004,0.2831252315029613
2246.4700000000003,-0.1191581164523341
2289.6200000000003,0.31569659050294296
2317.34,0.3234369878465442
2341.17,0.3195776998150608
2373.9700000000003,0.3213706389090061
2405.36,0.292515982295956
2433.94,0.3703415138402195
2461.36,0.3844175641333796
2496.7200000000003,0.3743081444580105
2531.07,0.3503161936253889
2579.1000000000004,0.3136600210277174
2616.57,0.3299333680598866
2651.9,-0.24290117528227517
2699.2400000000002,0.3548101723814079
2740.67,0.35938462367393287
2771.36,0.3590140531111943
2815.8,0.3163231401234117
2872.1600000000003,0.27633617562879476
2919.78,-0.006527372416006649
2951.51,0.4252640262478078
