dust_accumulated,pi_residual
0.125,-0.05661708339661242
1.125,-0.024463725393962132
2.125,-0.04826546910769425
3.75,-0.0798063694411355
8.0,-0.11752502044286972
19.625,-0.08578217477247341
23.5,-0.11774466886659418
31.833333333333336,-0.07068821447834761
38.5,-0.12605852881496382
50.083333333333336,-0.0432691633746618
60.333333333333336,-0.04185275558468726
62.875,-0.015481337782416116
63.708333333333336,-0.04364848375602559
63.708333333333336,0.2627349772556622
63.708333333333336,-0.010174809002754248
63.708333333333336,0.0029427799667747223
64.0,0.022988541517312555
64.20833333333333,0.039842515123461375
64.25,-0.026882665636758674
66.41666666666667,-0.026056399760835625
70.58333333333334,-0.05121805371654364
71.16666666666667,-0.020711819956861
71.16666666666667,0.036684567693353376
71.41666666666667,0.020465183283626676
73.625,-0.019032931648984786
76.45833333333333,0.01600187222395988
76.45833333333333,-0.05210153324583988
76.45833333333333,0.020584384002886313
80.20833333333333,-0.008504604160478824
89.875,-0.008397292957884606
102.16666666666667,-0.016846042730419786
115.08333333333334,-0.06198682304547898
142.95833333333334,0.045143327169458125
164.75,0.04557691530210217
184.875,-0.043469980047148304
201.41666666666666,0.003379350649825863
202.41666666666666,0.012771989822290664
204.54166666666666,-0.06808243844202266
205.79166666666666,0.0324093720128098
208.08333333333331,0.007104099058781177
210.62499999999997,0.04670870584192466
217.45833333333331,-0.12710693340956425
217.49999999999997,-0.0017278304722836424
218.54166666666663,-0.02992980177149418
221.8333333333333,-0.037773203559562596
222.66666666666663,-0.13528111943227117
222.66666666666663,-0.16494439113146875
0.0,0.38753078870575886
0.041666666666666664,0.39158866833346373
0.041666666666666664,0.6763423435277689
0.041666666666666664,0.5563641479414967
0.041666666666666664,0.3053275046260513
0.041666666666666664,0.40309451242044947
1.9583333333333335,0.16871799019930833
1.9583333333333335,-0.0032768060208252514
1.9583333333333335,0.23199210798080383
1.9583333333333335,-0.04745195031903959
1.9583333333333335,-0.031294928268778666
2.916666666666667,0.029843133065001748
2.916666666666667,-0.2791064528747156
2.916666666666667,-0.29263283449983124
2.916666666666667,-0.23562817612524967
2.916666666666667,-0.26617015128392607
2.916666666666667,-0.2560491194842647
2.916666666666667,-0.26084602098227627
2.916666666666667,-0.1842351947097658
2.916666666666667,-0.16854495434723438
2.916666666666667,-0.0051181786842584565
2.916666666666667,-0.06015661563736696
2.916666666666667,0.09195966450104853
2.916666666666667,0.05904732588742201
3.416666666666667,0.012652077926376126
4.083333333333334,-0.01791444246184648
4.083333333333334,-0.05803891863248767
4.083333333333334,-0.26900999744669685
4.083333333333334,0.014686399741016487
4.083333333333334,-0.14772422544801023
4.083333333333334,-0.137201621474504
4.625000000000001,-0.01414776542974483
15.375,-0.07522672298167565
15.375,-0.021840664529344522
15.375,-0.06419888751755964
15.375,0.2440309305990609
15.375,-0.15941880813941411
15.375,-0.1436258426393655
15.375,0.027345785589577787
15.375,0.022166530499866166
15.916666666666666,0.03720102680575632
16.916666666666664,-0.009780300461016633
19.291666666666664,0.31174532336951266
20.416666666666664,1.5477211180243344
21.041666666666664,-0.042881516239750006
23.916666666666664,0.037008198000604065
25.291666666666664,0.15264812393976213
25.291666666666664,0.03742578628630433
25.291666666666664,0.023993566752835704
25.291666666666664,0.0193328328703668
26.333333333333332,-0.02716710150806012
29.666666666666664,-0.0032768060208252514
37.08333333333333,-0.026636030619472173
42.541666666666664,-0.05089448036184541
50.20833333333333,-0.03823688937842995
59.95833333333333,-0.06726967199884504
65.83333333333333,-0.17841028922956825
73.0,-0.18205211552538225
74.125,-0.035566390540355375
75.33333333333333,-0.023918222951448076
76.79166666666666,-0.07729444397771523
79.41666666666666,-0.05995916485250952
80.08333333333333,-0.14188203088207052
81.08333333333333,-0.07391299695255249
82.08333333333333,-0.0715228693237635
82.45833333333333,-0.150584683564857
83.04166666666666,-0.12033140580149748
83.04166666666666,-0.05333993596052755
83.79166666666666,-0.07375746014106133
0.9166666666666666,-0.42484270936583357
31.041666666666668,-0.28137888911259834
54.91666666666667,-0.16644230398051585
76.45833333333334,-0.16024169847166103
115.125,-0.13539640157928945
154.20833333333334,-0.11998445104668587
196.875,-0.15033521759053947
210.29166666666666,0.026074763176584526
211.875,0.0760973992390821
212.16666666666666,0.1492152504056028
212.16666666666666,0.2768053551657399
212.16666666666666,-0.13087857553531723
212.16666666666666,0.06016512234583837
213.58333333333331,0.04742469147099193
215.41666666666666,0.03891854566518127
220.45833333333331,0.04921434093019661
221.49999999999997,-0.00020622294838057442
223.12499999999997,-0.02455892669035542
231.29166666666663,-0.03405903504926977
236.99999999999997,0.01880692646206672
238.45833333333331,-0.06298491261409866
259.29166666666663,-0.10281365665432673
319.54166666666663,-0.06293928736217635
352.8333333333333,-0.09142077174172325
354.375,-0.04210422825086679
356.1666666666667,-0.07203545048321969
357.6666666666667,-0.09297587417698283
359.6666666666667,0.019684393586437032
364.33333333333337,0.03437201811671464
371.08333333333337,-0.017047062880890085
371.20833333333337,-0.013072097306995545
371.87500000000006,0.053411781835445815
373.12500000000006,0.03984673450987808
375.29166666666674,0.020272720399401756
375.79166666666674,-0.032273651435951844
376.7083333333334,0.0758621244886295
376.7083333333334,0.04850714952540969
376.7083333333334,0.030690852254088963
376.79166666666674,-0.135273700065782
394.16666666666674,0.044656298041672926
410.25000000000006,-0.030486203928256295
5.5,-0.1387576150430081
9.166666666666666,-0.16997634069583123
27.5,-0.18356177930732853
29.375,-0.040316751969003306
30.375,-0.011276354354382345
32.125,-0.02823226801632872
52.08333333333333,0.07268460258268572
64.25,0.05122867397363917
65.91666666666667,0.0872941649702077
68.08333333333334,0.11168589878876256
75.08333333333334,0.08837552059258336
88.66666666666667,0.081070576127523
94.125,0.06694108888576977
118.0,-0.23387874668761288
129.83333333333334,-0.12028250703910981
132.0,-0.03387240929207902
133.20833333333334,-0.05359432771307171
134.20833333333334,-0.0539974594802044
143.75,-0.12437909197987995
166.125,-0.1723780397294612
213.91666666666666,-0.29533804704574074
247.45833333333331,-0.3574041862710935
247.58333333333331,-0.07051912678746053
247.58333333333331,0.00411881874171538
247.99999999999997,-0.0014383780467457363
248.24999999999997,0.008874417743522045
248.24999999999997,0.009052391459889009
249.33333333333331,-0.0027519923058494378
250.24999999999997,0.016742447914030567
252.29166666666663,0.015846991932147336
