date,inverter,relative_performance,meteo_irradiance
2025-04-29,INV1,1.0081529438195356,650.969970703125
2025-04-29,INV2,1.0116259322245191,650.969970703125
2025-04-29,INV3,0.9918470561804644,650.969970703125
2025-04-29,INV4,0.9917074766623045,650.969970703125
2025-04-30,INV1,1.0081529497773898,543.0
2025-04-30,INV2,1.0116263201714626,543.0
2025-04-30,INV3,0.9918470502226102,543.0
2025-04-30,INV4,0.9917073881249654,543.0
2025-06-26,INV1,0.8030279580336485,928.070007324218
2025-06-26,INV2,1.0026883360385488,928.070007324218
2025-06-26,INV3,0.9973116639614512,928.070007324218
2025-06-26,INV4,1.0080997186195257,928.070007324218
2025-07-24,INV4,1.0,715.609985351562
2025-07-25,INV1,1.4605104909971172,780.830017089843
2025-07-25,INV2,0.539489509002883,780.830017089843
2025-07-26,INV1,3.3641165548360275,846.049987792968
2025-07-26,INV2,0.7505755105005155,846.049987792968
2025-07-26,INV3,1.1382532064377833,846.049987792968
2025-07-26,INV4,0.8617467935622166,846.049987792968
2025-10-23,INV1,0.8255067026708673,588.299987792968
2025-10-23,INV2,0.8795270947593239,588.299987792968
2025-10-23,INV3,1.1228667890098925,588.299987792968
2025-10-23,INV4,1.120472905240676,588.299987792968
