date,pi,pi_temp_corrected,pi_14d,pi_temp_corrected_14d
2023-01-01,2.122794655656142,2.101018149674905,,
2023-01-02,2.133043290190825,2.116662417691742,,
2023-01-03,2.127605276348651,2.125068696952986,,
2023-01-04,2.2017340951727573,2.1858577097014704,,
2023-01-05,2.1657811920930934,2.1495509627664138,,
2023-01-06,2.132239818891587,2.121778896385818,,
2023-01-07,2.1428592301712377,2.1351239651767724,2.146579651217756,2.1335801140500155
2023-01-08,2.1554432113178943,2.1399308304371094,2.1476875962302735,2.134373953598402
2023-01-09,2.177503640995889,2.166508609801148,2.1510004900931197,2.1379444709542628
2023-01-10,2.482497760161807,2.4205572139062057,2.1841502170999885,2.1662057452494574
2023-01-11,2.4824483136618785,2.4214377922711257,2.211268225878342,2.189408658615063
2023-01-12,3.791187573160181,3.7131001108753194,2.342928171485162,2.3163829463034182
2023-01-13,7.5603279005934105,7.290309273827928,2.7442666121857964,2.6989926638053037
2023-01-14,2.4937530891127047,2.430236701155916,2.726372789109147,2.679795809330347
2023-01-15,2.4435637982162173,2.395069625964501,2.749284870720581,2.7007994862081754
2023-01-16,2.2863247378166536,2.256528454845654,2.7602335455509968,2.7107899174334547
2023-01-17,2.4013660025288224,2.385867062154123,2.7797878831352953,2.7294183720906786
2023-01-18,2.2986755647827026,2.313126824619513,2.78671227382172,2.7385090231562534
2023-01-19,2.2174967837335364,2.242413973925258,2.79040624465318,2.7451420953818855
2023-01-20,2.4203860377987323,2.3671546476594894,2.810988117432262,2.762668934758576
2023-01-21,2.4325458132530255,2.409313132972921,2.8316800162238183,2.7822538753154435
2023-01-22,2.4314935834528275,2.414956914423302,2.851397899947742,2.801898595600172
2023-01-23,2.2751465976809184,2.2856354023510095,2.8583723968538157,2.810407652210876
2023-01-24,2.299249138147296,2.2806199181027313,2.845283209567065,2.8004121310820564
2023-01-25,2.4461425950126707,2.3644914111114366,2.842689943949264,2.7963445324277925
2023-01-26,2.4469876130555925,2.3708820522126848,2.7466756610846508,2.70047181395189
2023-01-27,2.421921227474934,2.365175613862937,2.3796466130047595,2.34867655252582
2023-01-28,2.5164285946434513,2.4233708996619634,2.381266291971241,2.348186138133395
2023-01-29,2.4958216823590043,2.439909007124643,2.3849989979814405,2.3513889510734045
2023-01-30,2.4304529730942814,2.380127531769551,2.3952938719298422,2.3602174565679688
2023-01-31,2.5131645069506625,2.441904889342877,2.4032794793885452,2.3642201585100224
2023-02-01,2.37642921928587,2.354241717268178,2.4088333118530576,2.3671569365563556
2023-02-02,2.35912752410672,2.350295676047805,2.418949793308285,2.374862772422252
2023-02-03,2.5646570805634683,2.4870134280629874,2.4292548677914803,2.383424113879645
2023-02-04,2.484223269239336,2.4224067298363585,2.4329461146476454,2.3843593707984616
2023-02-05,2.5992752453808534,2.4840779421217887,2.4449305190710757,2.3892965870626393
2023-02-06,1.7070223414065993,1.6087016786935864,2.404350215051481,2.3409441782299667
