month,ground_value,cams_value,site_key,station_code
2023-01-01,45.456896551724135,19.89367816091954,balikesir,TR100241
2023-02-01,44.279545454545456,21.677272727272726,balikesir,TR100241
2023-03-01,27.87,25.427777777777777,balikesir,TR100241
2023-05-01,44.86318181818182,19.782386363636363,balikesir,TR100241
2023-06-01,42.77966666666667,17.371111111111112,balikesir,TR100241
2023-07-01,45.65161290322581,17.630779569892475,balikesir,TR100241
2023-08-01,44.77129032258065,18.111962365591395,balikesir,TR100241
2023-09-01,43.181333333333335,16.984444444444446,balikesir,TR100241
2023-10-01,54.81033333333333,23.69569444444444,balikesir,TR100241
2023-11-01,40.275,15.858888888888888,balikesir,TR100241
2023-12-01,42.11965517241379,17.451724137931034,balikesir,TR100241
2024-01-01,32.99655172413793,11.926005747126437,balikesir,TR100241
2024-02-01,45.75892857142857,19.80252976190476,balikesir,TR100241
2024-03-01,54.137741935483874,24.418951612903225,balikesir,TR100241
2024-04-01,54.876999999999995,24.559583333333332,balikesir,TR100241
2024-05-01,36.64833333333333,18.55642361111111,balikesir,TR100241
2024-06-01,42.95172413793103,19.97801724137931,balikesir,TR100241
2024-07-01,35.54379310344827,13.85,balikesir,TR100241
2024-08-01,31.944000000000003,13.351805555555556,balikesir,TR100241
2024-09-01,43.10466666666666,18.62472222222222,balikesir,TR100241
2024-10-01,42.77870967741936,16.274059139784946,balikesir,TR100241
2024-11-01,34.654,17.06277777777778,balikesir,TR100241
2024-12-01,32.84225806451613,15.574865591397849,balikesir,TR100241
2025-01-01,46.2,21.449596774193548,balikesir,TR100241
2025-02-01,36.505714285714284,15.204613095238097,balikesir,TR100241
2025-03-01,50.08413793103448,23.529454022988503,balikesir,TR100241
2025-04-01,40.775,19.830277777777777,balikesir,TR100241
2025-05-01,40.350967741935484,18.459543010752686,balikesir,TR100241
2025-06-01,36.60724137931034,12.579454022988505,balikesir,TR100241
2025-07-01,40.0958064516129,11.981854838709678,balikesir,TR100241
2025-08-01,33.75096774193548,13.776478494623655,balikesir,TR100241
2025-09-01,31.994333333333334,13.664861111111112,balikesir,TR100241
2025-10-01,35.74727272727273,14.468181818181819,balikesir,TR100241
