date,ground_value,cams_value,site_key,station_code
2023-04-16,64.85,11.770833333333334,canakkale,TR170141
2023-04-17,70.21,10.991666666666667,canakkale,TR170141
2023-04-18,71.93,12.450000000000001,canakkale,TR170141
2023-04-19,45.11,10.808333333333332,canakkale,TR170141
2023-04-20,42.31,13.866666666666667,canakkale,TR170141
2023-04-21,40.82,15.954166666666666,canakkale,TR170141
2023-04-22,53.81,19.783333333333335,canakkale,TR170141
2023-04-23,44.41,19.1375,canakkale,TR170141
2023-04-24,37.88,20.108333333333334,canakkale,TR170141
2023-04-25,47.31,16.029166666666665,canakkale,TR170141
2023-04-26,42.21,11.558333333333332,canakkale,TR170141
2023-04-27,30.4,8.854166666666666,canakkale,TR170141
2023-04-28,35.94,14.225,canakkale,TR170141
2023-04-29,34.65,16.008333333333333,canakkale,TR170141
2023-04-30,35.76,17.104166666666668,canakkale,TR170141
2023-05-01,42.97,17.695833333333333,canakkale,TR170141
2023-05-02,52.84,18.287499999999998,canakkale,TR170141
2023-05-03,44.96,15.1,canakkale,TR170141
2023-05-04,39.66,19.329166666666666,canakkale,TR170141
2023-05-05,38.82,14.354166666666666,canakkale,TR170141
2023-05-06,43.39,13.012500000000001,canakkale,TR170141
2023-05-07,52.42,18.641666666666666,canakkale,TR170141
2023-05-08,53.06,15.716666666666667,canakkale,TR170141
2023-05-09,53.98,16.275000000000002,canakkale,TR170141
2023-05-10,39.29,11.170833333333334,canakkale,TR170141
2023-05-11,44.7,12.616666666666667,canakkale,TR170141
2023-05-12,42.28,13.325000000000001,canakkale,TR170141
2023-05-13,46.02,14.075000000000001,canakkale,TR170141
2023-05-14,55.62,18.204166666666666,canakkale,TR170141
2023-05-15,63.13,24.895833333333332,canakkale,TR170141
2023-05-16,89.48,33.99166666666667,canakkale,TR170141
2023-05-17,74.02,22.691666666666666,canakkale,TR170141
2023-05-18,55.52,12.166666666666666,canakkale,TR170141
2023-05-19,44.4,15.5,canakkale,TR170141
2023-05-20,49.45,16.529166666666665,canakkale,TR170141
2023-05-21,50.49,20.466666666666665,canakkale,TR170141
2023-05-22,48.11,16.741666666666667,canakkale,TR170141
2023-05-23,38.86,13.004166666666668,canakkale,TR170141
2023-05-24,39.36,16.058333333333334,canakkale,TR170141
2023-05-25,42.9,16.633333333333333,canakkale,TR170141
2023-05-26,45.32,18.720833333333335,canakkale,TR170141
2023-05-27,44.03,21.5625,canakkale,TR170141
2023-05-28,37.54,14.820833333333333,canakkale,TR170141
2023-05-29,36.91,14.308333333333332,canakkale,TR170141
2023-05-30,41.54,19.9375,canakkale,TR170141
2023-05-31,47.31,21.075,canakkale,TR170141
2023-06-01,55.61,16.958333333333332,canakkale,TR170141
2023-06-02,67.38,22.245833333333334,canakkale,TR170141
2023-06-03,60.22,15.379166666666668,canakkale,TR170141
2023-06-04,54.17,14.700000000000001,canakkale,TR170141
2023-06-05,57.54,14.762500000000001,canakkale,TR170141
2023-06-06,68.67,17.879166666666666,canakkale,TR170141
2023-06-07,62.78,21.0125,canakkale,TR170141
2023-06-08,62.19,20.845833333333335,canakkale,TR170141
2023-06-09,51.78,16.070833333333333,canakkale,TR170141
2023-06-10,44.9,15.237499999999999,canakkale,TR170141
2023-06-11,52.07,16.375,canakkale,TR170141
2023-06-12,52.15,15.133333333333333,canakkale,TR170141
2023-06-13,44.37,13.929166666666667,canakkale,TR170141
2023-06-14,33.91,13.316666666666668,canakkale,TR170141
2023-06-15,52.58,16.854166666666668,canakkale,TR170141
2023-06-16,57.8,18.224999999999998,canakkale,TR170141
2023-06-18,38.49,17.370833333333334,canakkale,TR170141
2023-06-19,39.91,16.258333333333333,canakkale,TR170141
2023-06-20,46.28,16.341666666666665,canakkale,TR170141
2023-06-21,33.44,14.420833333333334,canakkale,TR170141
2023-06-22,44.24,17.2,canakkale,TR170141
2023-06-23,47.85,18.5625,canakkale,TR170141
2023-06-24,25.41,18.291666666666668,canakkale,TR170141
2023-06-25,24.12,12.720833333333333,canakkale,TR170141
2023-06-26,19.12,14.179166666666667,canakkale,TR170141
2023-06-27,16.48,11.0875,canakkale,TR170141
2023-06-28,15.38,11.108333333333334,canakkale,TR170141
2023-06-29,15.63,13.254166666666668,canakkale,TR170141
2023-06-30,14.15,11.670833333333334,canakkale,TR170141
2023-07-01,16.93,15.633333333333333,canakkale,TR170141
2023-07-02,20.89,18.670833333333334,canakkale,TR170141
2023-07-03,27.0,22.879166666666666,canakkale,TR170141
2023-07-04,28.93,19.675,canakkale,TR170141
2023-07-05,27.29,19.066666666666666,canakkale,TR170141
2023-07-06,28.1,18.795833333333334,canakkale,TR170141
2023-07-07,29.65,17.775000000000002,canakkale,TR170141
2023-07-09,19.24,12.154166666666667,canakkale,TR170141
2023-07-10,20.91,13.870833333333332,canakkale,TR170141
2023-07-11,24.13,19.691666666666666,canakkale,TR170141
2023-07-12,24.65,24.6375,canakkale,TR170141
2023-07-13,36.02,25.983333333333334,canakkale,TR170141
2023-07-14,34.89,30.7625,canakkale,TR170141
2023-07-15,37.43,26.175,canakkale,TR170141
2023-07-16,22.54,11.108333333333334,canakkale,TR170141
2023-07-17,32.85,12.254166666666668,canakkale,TR170141
2023-07-18,26.43,10.916666666666666,canakkale,TR170141
2023-07-19,24.63,12.641666666666666,canakkale,TR170141
2023-07-20,26.86,16.287499999999998,canakkale,TR170141
2023-07-21,32.42,21.537499999999998,canakkale,TR170141
2023-07-22,33.85,27.90833333333333,canakkale,TR170141
2023-07-23,35.36,28.166666666666668,canakkale,TR170141
2023-07-24,27.24,12.595833333333333,canakkale,TR170141
2023-07-25,26.86,15.829166666666666,canakkale,TR170141
2023-07-26,37.7,36.670833333333334,canakkale,TR170141
2023-07-27,39.23,21.412499999999998,canakkale,TR170141
2023-07-28,17.59,10.170833333333333,canakkale,TR170141
2023-07-29,19.85,10.1625,canakkale,TR170141
