record_type,interval_index,from_segment_id,to_segment_id,days_between_washes,prev_wash_end,next_wash_start,model_t_star_days,model_t_star_ci_low_days,model_t_star_ci_high_days
actual_interval,1,1,2,49,2023-09-25,2023-11-13,103.9416506355425,85.23588397191544,145.1325130569142
actual_interval,2,2,3,111,2023-12-06,2024-03-26,103.9416506355425,85.23588397191544,145.1325130569142
actual_interval,3,3,4,43,2024-04-07,2024-05-20,103.9416506355425,85.23588397191544,145.1325130569142
actual_interval,4,4,5,53,2024-05-29,2024-07-21,103.9416506355425,85.23588397191544,145.1325130569142
actual_interval,5,5,6,112,2024-07-30,2024-11-19,103.9416506355425,85.23588397191544,145.1325130569142
actual_interval,6,6,7,105,2024-11-25,2025-03-10,103.9416506355425,85.23588397191544,145.1325130569142
