event_index_by_date,recovery_abs,recovery_pct,recovery_positive,recovery_note,before_median_pi_temp,after_median_pi_temp
1,-0.03760014961098257,-1.1740760167579496,False,recovery not positive; check wash overlap with exclusions,3.202531103123139,3.1649309535121564
2,-0.3373003404084596,-12.592633946598122,False,recovery not positive; check wash overlap with exclusions,2.6785527304204746,2.341252390012015
3,0.2785344841223525,10.751499025202325,True,,2.5906572048181062,2.8691916889404587
4,0.3422281494227404,12.263202112617543,True,,2.7906915851172647,3.132919734540005
5,0.28573325159044316,9.635142613869252,True,,2.9655321466559927,3.251265398246436
6,-0.05769389536136549,-2.3641077645559325,False,recovery not positive; check wash overlap with exclusions,2.440408860642719,2.3827149652813535
7,1.0024247949230523,46.549674697553066,True,,2.1534517726194675,3.1558765675425198
