date,soiling_ratio,predicted
2024-11-01,74.93731001318307,79.75913520807777
2024-11-02,74.03164099727877,81.24120040617326
2024-11-03,72.36505154546978,90.01923467315976
2024-11-04,74.45372210749002,101.01802530775005
2024-11-05,73.99290918224322,98.36619140049314
2024-11-06,74.17056626258581,99.95809942410648
2024-11-07,73.79781904834903,96.55052024033589
2024-11-08,73.40795453440295,95.7464580802627
2024-11-09,72.98962731493715,100.1750903945536
2024-11-10,76.76830599732136,99.33819646479974
2024-11-11,74.51435530436973,100.22910578765705
2024-11-18,75.060278436788,97.79083232496468
2024-11-19,96.48640786773585,105.33251774891473
2024-11-24,102.07276852564871,104.95361394412099
2024-11-25,106.13629714942546,102.5980302833035
2024-11-26,103.10206977928806,104.60288390043074
2024-11-27,99.43331738452208,104.0692300681713
2024-11-28,100.0,107.09228530645291
2024-11-29,99.22664679162571,105.95298754006981
2024-12-04,93.81370672037639,99.65911972167466
2024-12-05,93.01180615540277,100.08353604066897
2024-12-12,95.75750907028439,98.95055701132671
2024-12-13,98.35899008784155,98.963760971317
2024-12-14,90.66654853332511,100.9550162269782
2024-12-16,91.34085690535414,98.00399759129058
2024-12-17,90.15519310505513,98.71978280647231
2024-12-19,89.71871208039,98.94312809544036
2024-12-20,84.28241168130408,99.2687208440987
2024-12-29,105.7282402922585,100.91488695203752
2024-12-30,93.27322836461848,100.43927689754435
2024-12-31,87.96473105499372,100.3007515036804
2025-01-01,89.62884809546563,102.70279984479241
2025-01-18,86.35701205161543,103.6160608841914
2025-01-19,86.18185314983505,105.68158370276255
2025-01-20,86.19328073504346,109.95676029389551
2025-03-06,90.34162986022966,109.28062303162882
2025-03-07,89.98641149172622,110.39645448057588
2025-03-08,90.39971341276619,102.16361125356916
2025-03-09,90.37806888350096,101.43979402750502
2025-03-14,74.87373994739148,97.67192150918379
2025-03-22,99.51074218883561,103.84278241213808
2025-04-13,86.66030369819669,103.66134342048065
2025-05-03,88.51212095542331,97.44694267228715
2025-05-15,98.83334410004355,92.18729669403956
2025-06-11,89.88941975253915,85.75407905971535
2025-06-12,89.36934176165101,85.82488659864637
2025-06-16,89.91125730235628,85.71355959461931
2025-06-17,87.53762781309266,85.66102349964329
2025-06-18,87.16360168475333,85.84606843036482
2025-06-23,89.91985713830475,85.46904832556189
2025-06-24,89.47715044414169,84.54788335440489
2025-06-26,74.94780908764659,84.60369308788364
2025-06-27,88.63934354526525,84.7548356437313
2025-07-02,87.46646799813296,84.49085059174453
2025-07-03,89.8448484787242,84.52732532184062
2025-07-04,90.20320441504927,84.48599587104654
2025-07-07,88.85962498754816,84.56249203308758
2025-07-09,88.03841466606076,84.70214321291327
2025-07-12,61.451579825963734,84.75600619317787
2025-07-13,72.3056146284588,84.73668033657668
2025-07-14,53.29141323583188,84.54726069402528
2025-07-15,84.92210553723038,83.71056395612314
2025-07-17,88.1253182600572,84.93173619292547
2025-07-24,76.06195039564716,84.75054129683687
2025-07-28,76.95137670930639,84.76754627777812
2025-07-29,77.48077506180492,84.47599602894036
2025-08-09,76.09675798676412,81.06692840519969
2025-08-10,71.33666437488188,81.11297417360417
2025-08-13,73.18003422595508,81.11297417360417
2025-08-15,68.34452195015848,81.41253015955611
2025-08-21,76.84174829462506,84.5321172167639
2025-08-30,75.2408115615917,84.2680493903585
2025-09-10,74.70613427107709,83.84526402444894
2025-09-16,69.38770068293202,83.72409858449736
2025-09-20,74.18362765750679,81.16459514343484
