variable,median_canakkale,median_balikesir,median_difference_bal_minus_can,median_diff_ci_low,median_diff_ci_high,distribution_overlap,mannwhitney_u,mannwhitney_p_less,balikesir_lower_significant,n_canakkale,n_balikesir
pm10,12.262500000000001,15.933333333333332,3.6656250000000004,2.897812499999999,4.518802083333336,0.7690058479532164,687226.5,1.0,False,1026,1026
dust,0.7083333333333334,0.6666666666666666,-0.04166666666666663,-0.20833333333333337,0.16666666666666663,0.9678362573099416,522728.5,0.39221426917464175,False,1026,1026
aerosol_optical_depth,0.140625,0.1589583333333333,0.019583333333333314,0.009369791666666662,0.028338541666666654,0.8771929824561403,596768.0,0.9999999232046174,False,1026,1026
