segment_id,date_start,date_end,season,washing_method,is_open_segment,n_clean_days,n_fit_rain_free,baseline_pi_temp_corrected,baseline_pi_raw,soiling_rate_pct_per_day,soiling_rate_ci_lower,soiling_rate_ci_upper,soiling_rate_r2,soiling_rate_raw_pi_pct_per_day,recovery_abs,recovery_pct,recovery_positive,recovery_note,low_confidence,unexpected_positive_slope,pm10_accumulated,dust_accumulated,aod_accumulated
1,2023-09-18,2023-11-12,autumn,brush_solution,False,47,40,3.1649309535121564,2.915637965106904,-0.2966786057117916,-0.3442400628578842,-0.25229553249462244,0.7945125142995759,-0.2017656702596521,-0.03760014961098257,-1.1740760167579496,False,recovery not positive; check wash overlap with exclusions,False,False,903.7666666666665,222.66666666666663,7.103333333333335
2,2023-11-13,2024-03-25,winter,brush_solution,False,69,62,2.341252390012015,2.4018618051389082,0.1301238725259003,0.09486640704165605,0.17666957399417,0.18825590481429366,0.05002016525858351,-0.3373003404084596,-12.592633946598122,False,recovery not positive; check wash overlap with exclusions,False,True,888.3375000000001,83.79166666666666,7.427083333333335
3,2024-03-26,2024-05-19,spring,brush_solution,False,41,29,2.8691916889404587,2.6236972222408266,-0.0005133923486332312,-0.0775737005332436,0.06844454998274871,-0.020272140716504294,-0.0329542842595012,0.2785344841223525,10.751499025202325,True,,False,False,886.1458333333333,410.24999999999994,10.37625
4,2024-05-20,2024-07-20,summer,brush_solution,False,55,47,3.132919734540005,2.739068934597575,-0.02196028416806465,-0.07785728639197788,0.03889017211030169,-0.05442922425780594,-0.028764959499278576,0.3422281494227404,12.263202112617543,True,,False,False,886.4416666666666,305.4583333333333,9.03791666666667
5,2024-07-21,2024-11-18,autumn,robot_no_solution,False,101,93,3.251265398246436,2.7743511625903046,-0.22314558058293715,-0.2508245020504554,-0.2001079898358716,0.4680103787730546,-0.10711656702289357,0.28573325159044316,9.635142613869252,True,,False,False,1267.6541666666665,187.375,12.139166666666666
6,2024-11-19,2025-03-09,winter,brush_solution,False,73,70,2.3827149652813535,2.393434523646145,-0.0805332079807418,-0.11409222356628891,-0.0479185747593912,0.3755311640447354,-0.10758895544406166,-0.05769389536136549,-2.3641077645559325,False,recovery not positive; check wash overlap with exclusions,False,False,924.6791666666666,36.5,7.627083333333333
7,2025-03-10,2025-10-22,summer,brush_solution,True,171,162,3.1558765675425198,3.113801427529054,-0.08767070609589722,-0.11010397559842922,-0.06799486013160234,0.23102617529512404,-0.08842237374472187,1.0024247949230523,46.549674697553066,True,,False,False,2084.0333333333333,395.3333333333333,28.245416666666664
