pm10_accumulated,pi_residual
12.25,-0.05661708339661242
25.791666666666664,-0.024463725393962132
39.4,-0.04826546910769425
53.4875,-0.0798063694411355
73.40416666666667,-0.11752502044286972
112.47916666666666,-0.08578217477247341
132.975,-0.11774466886659418
159.67916666666667,-0.07068821447834761
179.82083333333335,-0.12605852881496382
206.64583333333334,-0.0432691633746618
233.4625,-0.04185275558468726
252.93333333333334,-0.015481337782416116
268.70416666666665,-0.04364848375602559
279.6875,0.2627349772556622
293.57916666666665,-0.010174809002754248
306.43333333333334,0.0029427799667747223
317.125,0.022988541517312555
331.3333333333333,0.039842515123461375
347.5083333333333,-0.026882665636758674
363.1375,-0.026056399760835625
381.48333333333335,-0.05121805371654364
391.15833333333336,-0.020711819956861
405.1666666666667,0.036684567693353376
420.05,0.020465183283626676
443.78333333333336,-0.019032931648984786
467.76250000000005,0.01600187222395988
480.3541666666667,-0.05210153324583988
493.4291666666667,0.020584384002886313
506.31666666666666,-0.008504604160478824
525.6333333333333,-0.008397292957884606
549.5916666666667,-0.016846042730419786
575.35,-0.06198682304547898
618.7833333333333,0.045143327169458125
657.85,0.04557691530210217
691.2083333333334,-0.043469980047148304
721.1458333333334,0.003379350649825863
733.225,0.012771989822290664
749.5458333333333,-0.06808243844202266
772.95,0.0324093720128098
801.6083333333333,0.007104099058781177
817.1041666666666,0.04670870584192466
835.2125,-0.12710693340956425
846.7083333333333,-0.0017278304722836424
860.8791666666666,-0.02992980177149418
882.3625,-0.037773203559562596
894.6708333333332,-0.13528111943227117
903.7666666666665,-0.16494439113146875
9.654166666666667,0.38753078870575886
18.979166666666668,0.39158866833346373
27.4375,0.6763423435277689
33.09583333333333,0.5563641479414967
42.37083333333333,0.3053275046260513
52.19583333333333,0.40309451242044947
65.125,0.16871799019930833
75.15833333333333,-0.0032768060208252514
92.14166666666667,0.23199210798080383
106.83333333333333,-0.04745195031903959
119.07916666666667,-0.031294928268778666
136.07916666666665,0.029843133065001748
144.22916666666666,-0.2791064528747156
155.72916666666666,-0.29263283449983124
172.57083333333333,-0.23562817612524967
182.76666666666665,-0.26617015128392607
193.5958333333333,-0.2560491194842647
203.08749999999998,-0.26084602098227627
215.7208333333333,-0.1842351947097658
226.88749999999996,-0.16854495434723438
245.10416666666663,-0.0051181786842584565
258.5041666666666,-0.06015661563736696
269.53749999999997,0.09195966450104853
278.8166666666666,0.05904732588742201
286.91249999999997,0.012652077926376126
296.7208333333333,-0.01791444246184648
305.4083333333333,-0.05803891863248767
316.66666666666663,-0.26900999744669685
327.38333333333327,0.014686399741016487
334.5041666666666,-0.14772422544801023
343.90833333333325,-0.137201621474504
355.4541666666666,-0.01414776542974483
380.2749999999999,-0.07522672298167565
386.9416666666666,-0.021840664529344522
394.59583333333325,-0.06419888751755964
403.25833333333327,0.2440309305990609
410.78333333333325,-0.15941880813941411
417.5583333333332,-0.1436258426393655
427.6958333333332,0.027345785589577787
440.6333333333332,0.022166530499866166
452.4958333333332,0.03720102680575632
467.02499999999986,-0.009780300461016633
482.77499999999986,0.31174532336951266
492.5624999999999,1.5477211180243344
500.31666666666655,-0.042881516239750006
513.6458333333333,0.037008198000604065
526.9583333333333,0.15264812393976213
539.5083333333332,0.03742578628630433
553.6874999999999,0.023993566752835704
566.6958333333332,0.0193328328703668
577.4666666666666,-0.02716710150806012
589.6958333333332,-0.0032768060208252514
607.1916666666665,-0.026636030619472173
634.5791666666665,-0.05089448036184541
663.2249999999999,-0.03823688937842995
692.4875,-0.06726967199884504
724.2916666666666,-0.17841028922956825
742.4916666666667,-0.18205211552538225
753.9875,-0.035566390540355375
767.5416666666666,-0.023918222951448076
781.2041666666667,-0.07729444397771523
794.1125,-0.05995916485250952
809.1666666666666,-0.14188203088207052
824.5458333333333,-0.07391299695255249
840.2041666666667,-0.0715228693237635
854.0375,-0.150584683564857
865.7166666666667,-0.12033140580149748
876.0125,-0.05333993596052755
888.3375000000001,-0.07375746014106133
7.329166666666667,-0.42484270936583357
48.27916666666666,-0.28137888911259834
91.05,-0.16644230398051585
137.7625,-0.16024169847166103
194.86666666666665,-0.13539640157928945
249.47499999999997,-0.11998445104668587
309.34999999999997,-0.15033521759053947
332.72499999999997,0.026074763176584526
345.72499999999997,0.0760973992390821
355.8666666666666,0.1492152504056028
365.1791666666666,0.2768053551657399
372.58333333333326,-0.13087857553531723
381.09583333333325,0.06016512234583837
392.4624999999999,0.04742469147099193
403.37499999999994,0.03891854566518127
421.4708333333333,0.04921434093019661
433.17499999999995,-0.00020622294838057442
443.65,-0.02455892669035542
464.4,-0.03405903504926977
480.48749999999995,0.01880692646206672
492.13749999999993,-0.06298491261409866
522.2624999999999,-0.10281365665432673
602.7958333333332,-0.06293928736217635
653.0833333333333,-0.09142077174172325
666.3833333333332,-0.04210422825086679
675.9416666666665,-0.07203545048321969
684.1041666666665,-0.09297587417698283
692.7833333333332,0.019684393586437032
704.9249999999998,0.03437201811671464
721.9999999999999,-0.017047062880890085
729.5124999999999,-0.013072097306995545
737.1916666666666,0.053411781835445815
747.7375,0.03984673450987808
761.6583333333333,0.020272720399401756
770.8333333333333,-0.032273651435951844
779.9749999999999,0.0758621244886295
786.7958333333332,0.04850714952540969
795.9583333333333,0.030690852254088963
807.3083333333333,-0.135273700065782
848.2833333333333,0.044656298041672926
886.1458333333333,-0.030486203928256295
20.116666666666667,-0.1387576150430081
40.837500000000006,-0.16997634069583123
77.19583333333334,-0.18356177930732853
87.575,-0.040316751969003306
99.6875,-0.011276354354382345
108.6625,-0.02823226801632872
135.90416666666667,0.07268460258268572
155.95416666666668,0.05122867397363917
168.15833333333336,0.0872941649702077
180.8625,0.11168589878876256
197.9375,0.08837552059258336
223.2,0.081070576127523
244.76666666666665,0.06694108888576977
281.7833333333333,-0.23387874668761288
307.85416666666663,-0.12028250703910981
318.85416666666663,-0.03387240929207902
329.93749999999994,-0.05359432771307171
341.8708333333333,-0.0539974594802044
361.82083333333327,-0.12437909197987995
396.1708333333333,-0.1723780397294612
458.82083333333327,-0.29533804704574074
500.4291666666666,-0.3574041862710935
506.2666666666666,-0.07051912678746053
514.1874999999999,0.00411881874171538
522.0999999999999,-0.0014383780467457363
531.2375,0.008874417743522045
539.9541666666667,0.009052391459889009
550.5791666666667,-0.0027519923058494378
560.4041666666667,0.016742447914030567
573.4416666666667,0.015846991932147336
586.8958333333334,0.02034088725855021
601.4333333333334,-0.00644535389219314
609.4041666666667,0.016272870567322517
621.5208333333334,0.02885613596002834
634.2875,0.04043305718084067
645.4208333333333,0.019543357671680806
655.7083333333334,2.9618194361979988e-05
665.2583333333333,0.2249855448642677
678.1083333333333,-0.019058387826029755
697.5208333333334,-0.013208328082595422
706.7208333333334,-0.07847491278027618
714.6416666666668,0.04468146968891196
728.8958333333335,0.013374389867479852
745.7250000000001,0.0205451975338935
762.3083333333335,0.037666142917748946
778.9250000000002,-0.020344013465985356
793.0333333333335,-0.09166228034382407
807.3375000000002,-0.14063044167301753
823.5500000000002,-0.06995436851078729
832.3291666666669,-0.0014383780467461804
839.9833333333336,0.09004295427374576
849.1750000000003,0.020729772303202054
861.4750000000003,-0.0501985777809395
872.1125000000003,-0.02132412539135986
886.441666666667,-0.04500552101422395
16.837500000000002,-0.15354523169307432
30.883333333333336,-0.22372398861872433
42.016666666666666,-0.210258392039413
52.31666666666666,0.18783929004803568
60.33333333333333,-0.44676470135826163
66.74166666666666,0.025136997244353587
78.39166666666667,0.052178290219743406
87.99583333333334,-0.08077481747133897
93.8875,-0.07625884456117449
102.32083333333334,0.1010603054531849
111.775,0.19202539030678478
122.88333333333334,0.2523945613581873
137.95000000000002,0.08096595594666711
148.70833333333334,0.0013194925026343007
158.25416666666666,-0.11375812093418203
165.45833333333334,-0.06995545960553207
171.95416666666668,0.022095267664249185
181.91250000000002,0.01768468418434077
192.41250000000002,-0.07127951664725307
201.02500000000003,-0.06650781193271182
212.34583333333336,-0.04926694386633068
223.44583333333335,0.018194881312203037
235.37083333333337,-0.0409746823181556
246.8916666666667,0.021970490228353956
256.9791666666667,-0.03377995880466145
266.4916666666667,-0.01721183008253302
279.72083333333336,0.13034710117061632
293.53333333333336,0.09934379875023769
311.1291666666667,0.38176169718485653
330.9666666666667,-0.5285320932924278
343.7916666666667,0.03743993878084684
357.33750000000003,-0.23753088615187146
370.5375,0.13473358440535366
384.5791666666667,0.3287025482696331
398.6625,-0.3587394997275797
416.2875,-0.055772959851629444
432.40000000000003,-0.09718284647886488
442.76250000000005,-0.04757386167406752
456.3791666666667,-0.053249422434973326
470.6958333333334,0.02974987929072448
489.2541666666667,-0.021867883220784368
516.2541666666667,-0.4573392615047531
557.3875,0.13308919090075433
594.8000000000001,-0.0495061444956133
620.3333333333334,-0.15628385982992343
637.1541666666667,0.10048073700434834
649.4541666666667,0.3439197941189258
661.4625,-0.1376259657407104
667.0416666666666,1.6079630418456623
677.9583333333333,-0.03223947487679224
690.9,-0.4826636823540267
705.7083333333333,-0.07437709025184125
715.7249999999999,0.4692356237026183
724.4458333333332,-0.40812205137603774
737.0791666666665,0.21778197273873579
748.3958333333333,0.07884234240772248
761.7291666666666,-0.03983063183909197
779.1333333333333,0.19256030979151184
794.5291666666667,-0.11327291429412689
811.6208333333334,0.4463147145642026
836.1208333333334,-0.046428606943183404
841.9166666666667,0.195965435294029
850.0500000000001,0.09359771350494528
862.0000000000001,0.10752556462226348
874.8375000000001,0.07924265971854672
892.1625000000001,0.014340193241590526
903.0291666666668,0.06088132297396065
912.8875000000002,0.07121919637947949
927.1958333333334,0.11608088078734635
938.7000000000002,0.31977337557535535
953.7250000000001,0.11081909468440365
976.9708333333334,0.2018075080748254
991.6833333333334,0.0419994532567034
998.2541666666667,0.12321607441285831
1007.2666666666668,0.14941611850833514
1012.9083333333334,-0.09165840995899543
1018.8375000000001,-0.017682852062174348
1025.4833333333333,-0.13968525666800335
1033.5,-0.02460674537344243
1040.4583333333333,-0.008401882983841258
1050.7749999999999,-0.010866867787061807
1063.9624999999999,0.03250221734141956
1076.0541666666666,-0.013551721957878016
1085.9958333333332,0.0837019402651249
1100.8041666666666,-0.12460512062262996
1112.2833333333333,0.16979912565877742
1129.3791666666666,0.23549273211535748
1140.5874999999999,-0.023754294566276535
1148.3958333333333,-0.22059957543834674
1160.3249999999998,-0.0463291974307265
1178.1625,-0.06851984571825254
1187.475,-0.11545003684653388
1193.3374999999999,-0.04028675853100161
1201.0624999999998,-0.04801395467098857
1208.095833333333,-0.03498279644106628
1217.3499999999997,-0.039846742591265194
1227.3124999999998,-0.04526721758402674
1238.9291666666663,-0.05161309067275521
1246.933333333333,0.07849683688772569
1256.3666666666663,0.012469972963462972
1267.6541666666662,0.08100476821326552
11.841666666666667,0.05344122187364686
18.316666666666666,0.18654827328432644
26.1125,0.2833705779215463
35.108333333333334,0.21299246509119785
46.233333333333334,0.12749542954056903
70.84166666666667,0.14291673782378744
93.85000000000001,0.12640881199194887
101.25416666666668,0.0070282628454712
112.8375,-0.010159865124252931
125.37916666666668,0.06869454672084574
137.85000000000002,0.13259930104371254
148.87500000000003,-0.04877077827269405
158.35000000000002,-0.028866178183057034
167.8,-0.05519829019212663
181.31666666666666,-0.06176063529027953
196.43333333333334,-0.1893733016583714
205.28333333333333,0.33888955727063497
216.025,0.044041000941756
230.65416666666667,-0.08052648208765278
252.87083333333334,-0.03895643952595318
271.06666666666666,0.02572469672518496
280.9125,0.05188990487139211
293.27083333333337,0.14396548100128514
305.55416666666673,0.09402890407075581
318.42916666666673,0.09851073396047072
326.4416666666667,0.028939488333341146
339.86666666666673,-0.07266692143565257
355.7458333333334,-0.05843371210534665
366.2250000000001,0.0801732597873146
380.50000000000006,-0.053813835647933406
392.63750000000005,-0.08429406100641001
409.32500000000005,-0.08654872157357518
426.3708333333334,-0.08435755799206612
443.8708333333334,-0.10294261360615309
456.0333333333334,-0.06079662379448747
470.2208333333334,-0.024411317023462775
486.2708333333334,-0.11634029080208563
502.16666666666674,-0.04665259749365669
517.9625000000001,0.03921140060124717
534.1375,-0.05723299023088968
544.3208333333333,-0.10254027335474358
556.2958333333333,0.014646184718180688
568.5666666666667,-0.07493884220847402
582.575,-0.019198330689551124
604.8083333333334,-0.05928875626244201
627.8958333333334,-0.028150715482524458
635.2750000000001,0.030291273188536305
644.1208333333334,0.034586445367797314
650.9166666666667,0.017498327271469716
658.1791666666668,0.008940022071445952
666.0666666666668,0.026635839095831226
673.2666666666669,0.062132988914954446
681.0916666666669,-0.008110764717679686
690.5875000000002,0.03553801127119982
700.6875000000002,-0.01649838440584883
713.1375000000003,0.06869454672084618
724.816666666667,0.03959499367631203
734.0750000000003,-0.059584675018172994
741.2833333333336,-0.04366212882412146
752.1833333333336,-0.031975673064180477
761.8208333333337,-4.1140088438140765e-06
770.5458333333337,-0.0073930157527413165
781.1750000000004,0.020307479026460573
793.6708333333337,-0.033543361794532434
805.779166666667,0.0029977399840932506
827.5583333333337,0.0512516998758632
835.7708333333337,0.014643133426988086
844.8625000000004,-0.033593517735380996
856.7916666666671,-0.05855942559278149
871.3125000000005,0.10083523336188671
888.3166666666672,0.0942902689347056
906.2708333333338,0.1060569524576982
924.6791666666671,0.10746010181830945
25.912499999999998,-0.5871701711898116
45.8,-0.5834264258215125
69.26666666666667,-0.6180864391199896
91.7875,-0.5130912309286217
121.89999999999999,-0.3898732363105353
154.5375,-0.28997400496409176
161.34166666666667,-1.4183079584537102
171.44166666666666,-0.008379162678551655
180.54583333333332,0.257121206043879
191.62916666666666,0.39040692364240437
203.9125,0.4113808548003717
216.5,0.41805241439900787
238.55416666666667,-0.06054656635989719
277.93333333333334,-0.1415146598654724
290.22083333333336,-0.07541049288274237
299.6916666666667,-0.10471614464775847
314.8708333333334,-0.023439229828365882
328.2041666666667,-0.08476474451293026
335.90000000000003,-0.1474354293176101
345.6333333333334,-0.045715085436646596
