days_since_wash,partial_dependence
0.0,2.871459989049275
1.8273469387755095,2.871459989049275
3.654693877551019,2.870052729308565
5.482040816326529,2.870052729308565
7.309387755102038,2.867361010536041
9.136734693877548,2.8664482056763205
10.964081632653057,2.865951635246542
12.791428571428566,2.8654796598923276
14.618775510204076,2.86445224967761
16.446122448979587,2.864238713015412
18.273469387755096,2.8645085288625323
20.100816326530605,2.8642157438143427
21.928163265306114,2.863356372241468
23.755510204081624,2.864698756797168
25.582857142857133,2.8542283784623037
27.410204081632642,2.8526261311829444
29.23755102040815,2.8481922703500038
31.06489795918366,2.8464522107303143
32.89224489795917,2.8464522107303143
34.71959183673468,2.8463438434884925
36.54693877551019,2.84628702811858
38.3742857142857,2.847725367662307
40.20163265306121,2.8468677447490593
42.028979591836716,2.8466551926205055
43.85632653061223,2.8464572009113844
45.683673469387735,2.8457590259201946
47.51102040816325,2.840552541465481
49.33836734693875,2.823856868442087
51.165714285714266,2.812835067559581
52.99306122448977,2.805636475137658
54.820408163265284,2.805146852829078
56.64775510204079,2.804172389467339
58.4751020408163,2.802870249185412
60.302448979591816,2.7995284365425164
62.12979591836732,2.8006706557322127
63.957142857142834,2.8000451280326404
65.78448979591835,2.7994473295103517
67.61183673469385,2.7994603365460917
69.43918367346936,2.7885192836670245
71.26653061224486,2.777470116583384
73.09387755102038,2.7730378196799337
74.92122448979589,2.772041315009726
76.7485714285714,2.7663115681553707
78.5759183673469,2.7616579762358144
80.40326530612242,2.76041683946271
82.23061224489793,2.76041683946271
84.05795918367343,2.76041683946271
85.88530612244894,2.760240444838767
87.71265306122446,2.760240444838767
89.53999999999996,2.7602690086563477
