month,ground_value,cams_value,site_key,station_code
2023-01-01,36.72193548387097,14.981048387096775,canakkale,TR170141
2023-02-01,32.935,14.80246212121212,canakkale,TR170141
2023-03-01,33.92344827586207,13.621264367816092,canakkale,TR170141
2023-04-01,44.830333333333336,14.03375,canakkale,TR170141
2023-05-01,48.33483870967742,17.31962365591398,canakkale,TR170141
2023-06-01,43.40068965517241,15.910057471264368,canakkale,TR170141
2023-07-01,27.331,18.346944444444443,canakkale,TR170141
2023-08-01,26.56222222222222,16.26219135802469,canakkale,TR170141
2023-09-01,27.79269230769231,17.328846153846154,canakkale,TR170141
2023-10-01,24.256071428571428,18.776041666666668,canakkale,TR170141
2023-11-01,25.74076923076923,11.621314102564103,canakkale,TR170141
2023-12-01,32.940357142857145,12.4,canakkale,TR170141
2024-01-01,31.060000000000002,9.209027777777777,canakkale,TR170141
2024-02-01,32.35862068965517,13.975862068965517,canakkale,TR170141
2024-03-01,33.997,18.282638888888886,canakkale,TR170141
2024-04-01,38.83633333333333,19.255972222222223,canakkale,TR170141
2024-05-01,26.452333333333335,15.603333333333333,canakkale,TR170141
2024-06-01,28.96310344827586,18.669971264367817,canakkale,TR170141
2024-07-01,22.546666666666667,13.41712962962963,canakkale,TR170141
2024-10-01,29.742,11.180972222222222,canakkale,TR170141
2024-11-01,29.94448275862069,11.550287356321839,canakkale,TR170141
2024-12-01,24.471,10.012083333333333,canakkale,TR170141
2025-01-01,28.731666666666666,12.267361111111112,canakkale,TR170141
2025-02-01,23.856190476190477,9.769841269841269,canakkale,TR170141
2025-03-01,40.31806451612903,17.359408602150538,canakkale,TR170141
2025-04-01,46.73105263157895,17.168201754385965,canakkale,TR170141
2025-05-01,38.93571428571429,14.859375,canakkale,TR170141
2025-06-01,33.25277777777777,8.597916666666666,canakkale,TR170141
2025-07-01,38.21041666666667,11.340451388888889,canakkale,TR170141
2025-08-01,30.92,11.643472222222222,canakkale,TR170141
2025-09-01,28.551111111111112,11.909567901234569,canakkale,TR170141
2025-10-01,17.265333333333334,7.148055555555556,canakkale,TR170141
