date,pi_temp_corrected,fitted_pi_temp,segment_id,rain_day
2023-09-26,3.1656809214823327,3.1649309535121564,1,False
2023-09-27,3.100920934121096,3.155541280487536,1,False
2023-09-29,3.1649309535121564,3.1367619344382938,1,False
2023-09-30,3.1569576882775094,3.1273722614136727,1,False
2023-10-01,3.17393943305516,3.117982588389052,1,False
2023-10-02,3.13638261405693,3.1085929153644316,1,False
2023-10-03,3.433376402043997,3.099203242339811,1,False
2023-10-04,3.15107694276096,3.0898135693151905,1,False
2023-10-05,3.154804858705868,3.080423896290569,1,False
2023-10-06,3.1654609472317854,3.0710342232659484,1,False
2023-10-07,3.172925247813313,3.061644550241328,1,False
2023-10-08,3.0968103940284726,3.0522548772167073,1,False
2023-10-09,3.0882469868797746,3.0428652041920867,1,False
2023-10-10,3.053695659899446,3.0334755311674657,1,False
2023-10-11,3.0748122206345077,3.0240858581428443,1,False
2023-10-12,3.1228189352601015,3.0146961851182237,1,False
2023-10-13,3.0972098778257537,3.005306512093603,1,False
2023-10-14,3.0483220898685217,2.9959168390689825,1,False
2023-10-15,3.0739672207168454,2.9865271660443615,1,False
2023-10-17,2.9870844691978045,2.96774781999512,1,False
2023-10-19,3.0409910403972886,2.9489684739458784,1,False
2023-10-20,3.002512379209303,2.939578800921258,1,False
2023-10-21,2.993230017387276,2.9301891278966368,1,False
2023-10-22,2.9753915945901204,2.920799454872016,1,False
2023-10-23,2.9208611412504406,2.911409781847395,1,False
2023-10-24,3.018601618440757,2.9020201088227746,1,False
2023-10-25,3.0096455335487806,2.892630435798154,1,False
2023-10-26,2.9112089651749087,2.883240762773533,1,False
2023-10-27,2.948668622847262,2.8738510897489125,1,False
2023-10-28,2.948671588995106,2.864461416724291,1,False
2023-10-29,2.858427487706172,2.8550717436996704,1,False
2023-10-30,2.949529625136384,2.84568207067505,1,False
2023-10-31,2.914834679157734,2.836292397650429,1,False
2023-11-01,2.945049612916257,2.8269027246258083,1,False
2023-11-03,2.752454627615527,2.808123378576567,1,False
2023-11-05,2.859054384503566,2.789344032527325,1,False
2023-11-06,2.821462740179734,2.779954359502704,1,False
2023-11-07,2.804229665367045,2.7705646864780835,1,False
2023-11-10,2.6785527304204746,2.742395667404222,1,False
2023-11-12,2.6301101126720354,2.7236163213549798,1,False
2023-12-10,2.341252390012015,2.341252390012015,2,False
