month,site_key,pm10,provisional
2023-01-01,balikesir,20.10282258064516,True
2023-01-01,canakkale,14.981048387096775,False
2023-02-01,balikesir,19.75967261904762,True
2023-02-01,canakkale,14.541220238095237,False
2023-03-01,balikesir,18.546102150537635,True
2023-03-01,canakkale,13.17983870967742,False
2023-04-01,balikesir,18.00222222222222,True
2023-04-01,canakkale,14.03375,False
2023-05-01,balikesir,19.536827956989246,True
2023-05-01,canakkale,17.31962365591398,False
2023-06-01,balikesir,17.371111111111112,True
2023-06-01,canakkale,15.843194444444444,False
2023-07-01,balikesir,17.630779569892475,True
2023-07-01,canakkale,18.22284946236559,False
2023-08-01,balikesir,18.111962365591395,True
2023-08-01,canakkale,16.595430107526884,False
2023-09-01,balikesir,16.984444444444446,True
2023-09-01,canakkale,17.35513888888889,False
2023-10-01,balikesir,24.65,True
2023-10-01,canakkale,19.136290322580646,False
2023-11-01,balikesir,15.858888888888888,True
2023-11-01,canakkale,11.328333333333335,False
2023-12-01,balikesir,17.934543010752687,True
2023-12-01,canakkale,12.181182795698925,False
2024-01-01,balikesir,12.522311827956988,True
2024-01-01,canakkale,9.237768817204302,False
2024-02-01,balikesir,19.919827586206896,True
2024-02-01,canakkale,13.975862068965517,False
2024-03-01,balikesir,24.418951612903225,True
2024-03-01,canakkale,18.025,False
2024-04-01,balikesir,24.559583333333332,True
2024-04-01,canakkale,19.255972222222223,False
2024-05-01,balikesir,18.54959677419355,True
2024-05-01,canakkale,15.746774193548386,False
2024-06-01,balikesir,19.663333333333334,True
2024-06-01,canakkale,18.31138888888889,False
2024-07-01,balikesir,14.012096774193548,True
2024-07-01,canakkale,11.847849462365593,False
2024-08-01,balikesir,13.39771505376344,True
2024-08-01,canakkale,12.169220430107528,False
2024-09-01,balikesir,18.62472222222222,True
2024-09-01,canakkale,15.904305555555556,False
2024-10-01,balikesir,16.274059139784946,True
2024-10-01,canakkale,11.00725806451613,False
2024-11-01,balikesir,17.06277777777778,True
2024-11-01,canakkale,11.425138888888888,False
2024-12-01,balikesir,15.574865591397849,True
2024-12-01,canakkale,10.176747311827958,False
2025-01-01,balikesir,21.449596774193548,True
2025-01-01,canakkale,12.446236559139786,False
2025-02-01,balikesir,15.204613095238097,True
2025-02-01,canakkale,10.527827380952383,False
2025-03-01,balikesir,24.166935483870965,True
2025-03-01,canakkale,17.359408602150538,False
2025-04-01,balikesir,19.830277777777777,True
2025-04-01,canakkale,14.828333333333335,False
2025-05-01,balikesir,18.459543010752686,True
2025-05-01,canakkale,14.12782258064516,False
2025-06-01,balikesir,12.465277777777777,True
2025-06-01,canakkale,9.654027777777777,False
2025-07-01,balikesir,11.981854838709678,True
2025-07-01,canakkale,10.548521505376344,False
2025-08-01,balikesir,13.776478494623655,True
2025-08-01,canakkale,11.609946236559141,False
2025-09-01,balikesir,13.664861111111112,True
2025-09-01,canakkale,11.423333333333334,False
2025-10-01,balikesir,14.468181818181819,True
2025-10-01,canakkale,8.727272727272727,False
