model_name,test_mae,test_rmse,test_r2,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_r2_non_negative
mlp,30.027750384070938,40.41782553800019,-13.380800321162281,-30.701812617080748,36.71523343017658,25.64613719944404,7.699931183631423,False
linear_regression,13.054668008580009,15.547013701819795,-1.1278015887877286,-6.153895361182611,6.9978925173690785,15.06941954375635,10.78105396042462,False
lasso,12.367096111519153,14.802858901568026,-0.9289828446521116,-4.549139991731257,5.107779639698699,13.233513061766086,8.067595117154804,False
decision_tree,13.493500833038457,16.836199300737803,-1.4953144552642579,-2.908276309727886,2.9462687955438587,10.512737932524384,7.6964244783394795,False
elastic_net,9.744051647934382,12.429963071930725,-0.36011879811179104,-2.3590250243438695,1.4720891394281368,10.940234956619273,5.663034906526545,False
ridge,10.515155397462276,13.08385644530406,-0.5069842282020456,-1.9360702734868827,1.3256921418664587,10.01019304119961,4.448815063938365,False
days_since_wash_linear,11.956861303645717,14.668844996541711,-0.894213838755691,-1.6746413315477828,1.7206328074265729,10.46051911714074,8.133027061234019,False
hist_gradient_boosting,11.720901894044689,14.72970301573134,-0.9099638497124987,-1.6529681515705659,1.925356544019506,9.629420304748498,7.173778207467273,False
gradient_boosting,9.684844172637366,12.049830392767452,-0.2782006507030643,-1.5656465086214306,1.6841056439913227,9.032841817161293,6.058034898154602,False
random_forest,10.781563454522706,13.30544203245865,-0.5584604330102925,-1.3525242285657069,2.118812412797684,8.810220120009083,7.552842226750312,False
ada_boost,10.120940433347823,12.106860417458833,-0.2903283429146659,-1.2949177087322012,2.033994313457291,8.825026542242522,7.322787817195866,False
mean_baseline,13.067752188415072,15.895016216503699,-1.2241246164439916,-1.108511142691516,0.9255399487898206,8.383451458921456,4.330900541179514,False
extra_trees,9.16485890626951,11.421991916326858,-0.14847319443252127,-0.7979136030567993,0.7271253551183408,7.818265835921244,4.78422914445861,False
knn,8.9929042441646,11.941120335678903,-0.2552415777083943,-0.5053087702862008,0.4681971517484435,7.261152005511396,4.579478885485916,False
svr_rbf,12.532942321484727,14.781540659149544,-0.9234308208157762,-0.4395847965546502,0.5911138887424575,6.940243892440549,4.368350628517331,False
